AAD,ABS,ACCC,ACorn,AF,AOff,AP,APass,AR,AS,ASOT,AST,ASaves,AT,ATack,AY,Attendance,Date,FTAG,FTHG,GameID,HAD,HBS,HCCC,HCorn,HF,HOff,HP,HPass,HR,HS,HSOT,HST,HSaves,HT,HTack,HY,League,Time
59.5,3,2,4,6,3,44.0,74.9,0,14,5,6,1,FC Utrecht,66.7,0,,2020-10-18,0,0,431783,40.5,3,1,4,15,0,56.0,82.9,0,16,12,1,6,Groningen,44.4,5,Eredivisie,1545
38.1,3,0,8,13,0,59.8,87.4,1,12,6,3,3,Inter Milan,46.7,4,,2020-10-04,1,1,434349,61.9,2,2,7,14,0,40.2,82.3,1,12,6,4,2,Lazio,56.3,3,Serie_A,1400
34.6,1,0,6,19,0,38.2,77.1,0,4,1,2,2,Spezia,57.1,2,,2020-10-04,0,3,434350,65.4,6,3,4,14,1,61.8,85.5,0,17,6,5,3,AC Milan,59.1,1,Serie_A,1700
69.0,4,4,10,15,5,59.8,84.7,0,17,6,7,1,Bologna,30.8,1,,2020-10-04,0,1,434345,31.0,2,1,4,13,0,40.2,70.9,0,7,3,2,7,Benevento,75.0,2,Serie_A,1400
20.8,5,0,9,9,0,41.1,79.4,0,12,4,3,7,Cagliari,55.6,0,,2020-10-04,2,5,434344,79.2,4,5,4,11,2,58.9,85.6,0,21,5,12,1,Atalanta,50.0,0,Serie_A,1130
47.2,4,3,6,19,5,60.5,85.3,0,8,2,2,3,Verona,60.0,1,,2020-10-04,0,1,434351,52.8,4,1,7,11,2,39.5,75.1,0,11,3,4,2,Parma,44.4,1,Serie_A,1400
62.5,2,2,4,14,2,53.4,87.1,1,11,7,2,2,Juventus,58.8,3,,2020-10-17,1,1,434355,37.5,2,0,3,17,0,46.6,83.9,0,10,5,3,1,Crotone,47.6,3,Serie_A,1945
48.0,2,1,4,7,4,47.9,83.3,0,10,4,4,2,Benevento,46.7,2,,2020-10-18,2,5,434358,52.0,5,5,6,17,6,52.1,86.7,0,20,8,7,2,Roma,55.0,3,Serie_A,1945
42.9,3,0,3,10,2,47.8,83.8,0,10,7,0,4,Lazio,80.0,2,,2020-10-17,0,3,434359,57.1,1,3,4,12,0,52.2,81.5,0,12,4,7,0,Sampdoria,76.9,2,Serie_A,1700
61.9,1,2,5,11,2,44.9,76.3,0,11,6,4,4,AC Milan,50.0,3,,2020-10-17,2,1,434356,38.1,6,3,3,18,2,55.1,81.8,0,18,6,6,2,Inter Milan,63.6,3,Serie_A,1700
48.0,4,1,5,18,3,47.6,84.4,0,9,2,3,0,Fiorentina,50.0,2,,2020-10-18,2,2,434360,52.0,5,1,5,15,1,52.4,83.5,0,12,5,2,1,Spezia,48.3,2,Serie_A,1400
55.2,2,1,4,16,4,40.9,82.9,0,12,5,5,4,Cagliari,76.9,3,,2020-10-18,3,2,434361,44.8,2,0,2,14,1,59.1,90.0,1,13,5,6,2,Torino,100.0,2,Serie_A,1400
62.9,4,4,11,11,0,52.7,78.3,0,25,9,12,3,Sassuolo,50.0,1,,2020-10-18,4,3,434354,37.1,4,2,7,20,0,47.3,73.0,0,14,4,6,9,Bologna,58.8,2,Serie_A,1130
58.3,2,1,3,11,1,58.3,85.3,0,9,4,3,2,Parma,62.5,2,,2020-10-18,2,3,434362,41.7,5,3,11,12,2,41.7,85.2,0,16,7,4,1,Udinese,61.9,3,Serie_A,1700
53.3,4,3,7,8,1,55.0,84.4,0,13,6,3,4,Real Madrid,57.9,1,,2020-10-04,2,0,433818,46.7,1,1,4,14,3,45.0,80.7,0,11,6,4,1,Levante,36.4,2,La_Liga,1500
